ticker,user,fields,schedule,enabled,owner,currency,kind,curve_code,tenor,notes
KWSWO1  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,1Y,
KWSWO2  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,2Y,
KWSWO3  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,3Y,
KWSWO4  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,4Y,
KWSWO5  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,5Y,
KWSWO6  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,6Y,
KWSWO7  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,7Y,
KWSWO10  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,10Y,
KWSWO12  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,12Y,
KWSWO15  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,15Y,
KWSWO20  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRO,IRS,KRO-91D_CD-3M,20Y,
KWSWNIF  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,6M,
KWSWNII  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,9M,
KWSWNI1  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,1Y,
KWSWNI2  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,2Y,
KWSWNI3  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,3Y,
KWSWNI4  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,4Y,
KWSWNI5  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,5Y,
KWSWNI6  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,6Y,
KWSWNI7  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,7Y,
KWSWNI10  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,10Y,
KWSWNI12  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,12Y,
KWSWNI15  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,15Y,
KWSWNI20  CMPN Curncy,shared_term,PX_LAST,daily,true,AD,KRW,IRS,KRW-91D_CD-3M,20Y,
