ticker,user,schedule,enabled,owner,domain,kind,currency,country,curve_code,tenor,quote_type,source_file
EUSA40 BGN Curncy,shared_term,daily,true,AD,rates,IRS,EUR,,EUR-EURIBOR-6M,40Y,YIELD,tickers/rates.csv
HIHD03M Index,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,3M,YIELD,tickers/rates.csv
HDSWF BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,6M,YIELD,tickers/rates.csv
HDSWI BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,9M,YIELD,tickers/rates.csv
HDSW1 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,1Y,YIELD,tickers/rates.csv
HDSW2 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,2Y,YIELD,tickers/rates.csv
HDSW3 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,3Y,YIELD,tickers/rates.csv
HDSW4 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,4Y,YIELD,tickers/rates.csv
HDSW5 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,5Y,YIELD,tickers/rates.csv
HDSW6 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,6Y,YIELD,tickers/rates.csv
HDSW7 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,7Y,YIELD,tickers/rates.csv
HDSW10 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,10Y,YIELD,tickers/rates.csv
HDSW12 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,12Y,YIELD,tickers/rates.csv
HDSW15 BGN Curncy,shared_term,daily,true,AD,rates,IRS,HKD,,HKD-HIBOR-3M,15Y,YIELD,tickers/rates.csv
KWCDC Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,3M,YIELD,tickers/rates.csv
KWSWOF  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,6M,YIELD,tickers/rates.csv
KWSWOI  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,9M,YIELD,tickers/rates.csv
KWSWO1  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,1Y,YIELD,tickers/rates.csv
KWSWO2  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,2Y,YIELD,tickers/rates.csv
KWSWO3  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,3Y,YIELD,tickers/rates.csv
KWSWO4  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,4Y,YIELD,tickers/rates.csv
KWSWO5  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,5Y,YIELD,tickers/rates.csv
KWSWO6  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,6Y,YIELD,tickers/rates.csv
KWSWO7  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,7Y,YIELD,tickers/rates.csv
KWSWO10  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,10Y,YIELD,tickers/rates.csv
KWSWO12  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,12Y,YIELD,tickers/rates.csv
KWSWO15  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,15Y,YIELD,tickers/rates.csv
KWSWO20  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRO,,KRO-91D_CD-3M,20Y,YIELD,tickers/rates.csv
KWSWNIF  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,6M,YIELD,tickers/rates.csv
KWSWNII  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,9M,YIELD,tickers/rates.csv
KWSWNI1  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,1Y,YIELD,tickers/rates.csv
KWSWNI2  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,2Y,YIELD,tickers/rates.csv
KWSWNI3  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,3Y,YIELD,tickers/rates.csv
KWSWNI4  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,4Y,YIELD,tickers/rates.csv
KWSWNI5  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,5Y,YIELD,tickers/rates.csv
KWSWNI6  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,6Y,YIELD,tickers/rates.csv
KWSWNI7  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,7Y,YIELD,tickers/rates.csv
KWSWNI10  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,10Y,YIELD,tickers/rates.csv
KWSWNI12  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,12Y,YIELD,tickers/rates.csv
KWSWNI15  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,15Y,YIELD,tickers/rates.csv
KWSWNI20  CMPN Curncy,shared_term,daily,true,AD,rates,IRS,KRW,,KRW-91D_CD-3M,20Y,YIELD,tickers/rates.csv
KLIB3M INDEX,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,3M,YIELD,tickers/rates.csv
MRSWNIF BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,6M,YIELD,tickers/rates.csv
MRSWNII BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,9M,YIELD,tickers/rates.csv
MRSWNI1 BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,1Y,YIELD,tickers/rates.csv
MRSWNI2 BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,2Y,YIELD,tickers/rates.csv
MRSWNI3 BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,3Y,YIELD,tickers/rates.csv
MRSWNI4 BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,4Y,YIELD,tickers/rates.csv
MRSWNI5 BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,5Y,YIELD,tickers/rates.csv
MRSWNI7 BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,7Y,YIELD,tickers/rates.csv
MRSWNI10 BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,10Y,YIELD,tickers/rates.csv
MRSWNI12 BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,12Y,YIELD,tickers/rates.csv
MRSWNI15 BLC3 CURNCY,shared_term,daily,true,AD,rates,IRS,MYR,,MYR-KLIBOR-3M,15Y,YIELD,tickers/rates.csv
NDBB3M Curncy,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,3M,YIELD,tickers/rates.csv
NDSWF CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,6M,YIELD,tickers/rates.csv
NDSWI CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,9M,YIELD,tickers/rates.csv
NDSWAP1 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,1Y,YIELD,tickers/rates.csv
NDSWAP2 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,2Y,YIELD,tickers/rates.csv
